일련번호,꽃받침 길이,꽃받침 너비,꽃잎 길이,꽃잎 너비,종류
151,,3.1,1.5,0.2,세토사
152,4.4,,1.2,0.2,세토사
153,5.8,,1.2,,세토사
154,5.7,4,1.2,0.2,세토사
155,,3.8,1.7,0.3,세토사
156,5.4,4.3,1.6,,세토사
157,4.3,2.5,1.2,0.1,세토사
158,4.8,3.8,1.4,0.2,세토사
159,5.3,4.2,1.5,0.2,세토사
160,5.4,4.1,1.5,0.2,세토사
161,15,2.9,4.7,1.4,버시컬러
162,5.6,,,1.3,버시컬러
163,6.7,3.1,4.4,1.4,버시컬러
164,5.6,3,4.5,5.2,버시컬러
165,5.8,2.7,4.1,111,버시컬러
166,6.2,2.2,4.5,1.5,버시컬러
167,5.4,2.5,3.8,1.2,버시컬러
168,5.2,3.3,3.6,1,버시컬러
169,6.7,3.2,4.2,1.3,버시컬러
170,6.8,2.5,4.6,1.7,버시컬러
171,6.8,3,55,2.1,버지니카
172,5.7,2.5,5,2,버지니카
173,5.8,2.8,51,2.4,버지니카
174,6.4,3.2,5.3,2.3,버지니카
175,6.5,,,,버지니카
176,,3.2,6.1,2.2,버지니카
177,7.8,3.6,6.5,2.4,버지니카
178,7.4,3.4,6.3,2.3,버지니카
179,6.5,2.7,5.2,2,버지니카
180,5.5,2.6,4.6,1.5,버지니카
